	c-q	nc-q	true-q	c-p	nc-p	c-bias	nc-bias	type	L	rep	gwas_size	test_size	h2	num_causal	env	pheno	test
1	0.00280841989803244	0.00294150542052472	0	0.2	0.7	0.00280841989803244	0.00294150542052472	10	20000	A49	1440	1440	0	20000		PS	PS
2	0.00188537945872109	0.00301149915316361	0	0.5	1	0.00188537945872109	0.00301149915316361	35	20000	A49	1440	1440	0	20000		PS	PS
3	0.00234384113630788	-0.000397789782021556	0	0.5	0.8	0.00234384113630788	-0.000397789782021556	FGr	20000	A49	1440	1440	0	20000		PS	PS
4	0.00238194272818289	0.000612033387345733	0	0.4	0.9	0.00238194272818289	0.000612033387345733	NoCorrection	20000	A49	1440	1440	0	20000		PS	PS
5	-0.000863519868366111	-0.0100781397260803	0	0.9	0	-0.000863519868366111	-0.0100781397260803	10	10000	A49	1440	1440	0	10000		PS	PS
6	-0.00179423476403549	-0.00629834936342593	0	0.3	0.4	-0.00179423476403549	-0.00629834936342593	35	10000	A49	1440	1440	0	10000		PS	PS
7	-0.00112791512482637	-0.00609361552083337	0	0.5	0.3	-0.00112791512482637	-0.00609361552083337	FGr	10000	A49	1440	1440	0	10000		PS	PS
8	0.000984607626925174	0.00738336232445982	0	0.6	0.1	0.000984607626925174	0.00738336232445982	NoCorrection	10000	A49	1440	1440	0	10000		PS	PS
9	-0.000892863679471452	0.00198794251929013	0	0.5	0.7	-0.000892863679471452	0.00198794251929013	10	6000	A49	1440	1440	0	6000		PS	PS
10	-0.00100795110999229	0.000840370439814802	0	0.4	0.7	-0.00100795110999229	0.000840370439814802	35	6000	A49	1440	1440	0	6000		PS	PS
11	-0.000780983730709879	0.00342349461998459	0	0.5	0.4	-0.000780983730709879	0.00342349461998459	FGr	6000	A49	1440	1440	0	6000		PS	PS
12	-0.000511958038618829	0.00722618110146606	0	0.7	0.1	-0.000511958038618829	0.00722618110146606	NoCorrection	6000	A49	1440	1440	0	6000		PS	PS
