	c-q	nc-q	true-q	c-p	nc-p	c-bias	nc-bias	type	L	rep	gwas_size	test_size	h2	num_causal	env	pheno	test
1	-0.0017409971485725	0.00468720645447536	0	0.7	0.3	-0.0017409971485725	0.00468720645447536	10	20000	A58	1440	1440	0	20000		PS	PS
2	-0.00281856746319441	-0.00131776557098761	0	0.3	0.9	-0.00281856746319441	-0.00131776557098761	35	20000	A58	1440	1440	0	20000		PS	PS
3	-0.00252384880682868	-0.00143934217206783	0	0.6	0.9	-0.00252384880682868	-0.00143934217206783	FGr	20000	A58	1440	1440	0	20000		PS	PS
4	-0.00364079438634257	-0.0116998244444444	0	0.2	0.3	-0.00364079438634257	-0.0116998244444444	NoCorrection	20000	A58	1440	1440	0	20000		PS	PS
5	-0.00228057202025462	-0.00152834228009263	0	0.1	0.9	-0.00228057202025462	-0.00152834228009263	10	10000	A58	1440	1440	0	10000		PS	PS
6	-0.00238584633228588	-0.00642315164158955	0	0.4	0.2	-0.00238584633228588	-0.00642315164158955	35	10000	A58	1440	1440	0	10000		PS	PS
7	-0.00248283715846836	-0.00213231036265437	0	0.4	0.8	-0.00248283715846836	-0.00213231036265437	FGr	10000	A58	1440	1440	0	10000		PS	PS
8	-0.00110198560007716	0.00861012911265428	0	0.6	0	-0.00110198560007716	0.00861012911265428	NoCorrection	10000	A58	1440	1440	0	10000		PS	PS
9	-1.72390461033945e-05	0.0102186728742284	0	1	0	-1.72390461033945e-05	0.0102186728742284	10	6000	A58	1440	1440	0	6000		PS	PS
10	8.75092395833362e-05	0.00739118939043211	0	0.9	0.1	8.75092395833362e-05	0.00739118939043211	35	6000	A58	1440	1440	0	6000		PS	PS
11	-0.000323967437422838	0.00671238474151233	0	0.9	0.1	-0.000323967437422838	0.00671238474151233	FGr	6000	A58	1440	1440	0	6000		PS	PS
12	-0.000203394379436727	0.0071199639236111	0	0.9	0	-0.000203394379436727	0.0071199639236111	NoCorrection	6000	A58	1440	1440	0	6000		PS	PS
