	c-q	nc-q	true-q	c-p	nc-p	c-bias	nc-bias	type	L	rep	gwas_size	test_size	h2	num_causal	env	pheno	test
1	-0.00277619839465665	0.00126866897376542	0	0.3	1	-0.00277619839465665	0.00126866897376542	10	20000	A82	1440	1440	0	20000		PS	PS
2	-0.00194329672141204	0.000309268717206812	0	0.5	1	-0.00194329672141204	0.000309268717206812	35	20000	A82	1440	1440	0	20000		PS	PS
3	-0.00196712592066745	0.00953110037229937	0	0.4	0.3	-0.00196712592066745	0.00953110037229937	FGr	20000	A82	1440	1440	0	20000		PS	PS
4	-0.00163485524087578	0.0105046318364197	0	0.7	0	-0.00163485524087578	0.0105046318364197	NoCorrection	20000	A82	1440	1440	0	20000		PS	PS
5	0.000723657281442891	-0.00720411229938265	0	0.9	0	0.000723657281442891	-0.00720411229938265	10	10000	A82	1440	1440	0	10000		PS	PS
6	0.000369176020650062	-0.00918393342592585	0	0.9	0.1	0.000369176020650062	-0.00918393342592585	35	10000	A82	1440	1440	0	10000		PS	PS
7	0.000180229798944821	-0.00917457815972214	0	0.8	0.1	0.000180229798944821	-0.00917457815972214	FGr	10000	A82	1440	1440	0	10000		PS	PS
8	0.00141873761942514	-0.00118729447530857	0	0.2	1	0.00141873761942514	-0.00118729447530857	NoCorrection	10000	A82	1440	1440	0	10000		PS	PS
9	0.000539407033294758	0.00094613851466053	0	0.6	0.9	0.000539407033294758	0.00094613851466053	10	6000	A82	1440	1440	0	6000		PS	PS
10	0.000525503869695227	-0.000188022959104911	0	0.9	0.8	0.000525503869695227	-0.000188022959104911	35	6000	A82	1440	1440	0	6000		PS	PS
11	0.000775739216705256	0.000543814033564837	0	0.7	0.9	0.000775739216705256	0.000543814033564837	FGr	6000	A82	1440	1440	0	6000		PS	PS
12	0.00124715899760032	0.00367107641010804	0	0.3	0.6	0.00124715899760032	0.00367107641010804	NoCorrection	6000	A82	1440	1440	0	6000		PS	PS
