	c-q	nc-q	true-q	c-p	nc-p	c-bias	nc-bias	type	L	rep	gwas_size	test_size	h2	num_causal	env	pheno	test
1	0.00123974650920136	0.00233131710069446	0	0.4	0.7	0.00123974650920136	0.00233131710069446	10	20000	A76	1440	1440	0	20000		PS	PS
2	0.000998549828724911	-0.00767357227623456	0	0.6	0.3	0.000998549828724911	-0.00767357227623456	35	20000	A76	1440	1440	0	20000		PS	PS
3	0.000630999273533918	-0.004603944533179	0	0.8	0.6	0.000630999273533918	-0.004603944533179	FGr	20000	A76	1440	1440	0	20000		PS	PS
4	0.00245938049787806	0.00749227183063273	0	0.2	0.4	0.00245938049787806	0.00749227183063273	NoCorrection	20000	A76	1440	1440	0	20000		PS	PS
5	-0.00187579297521219	0.0040847662866513	0	0.1	0.6	-0.00187579297521219	0.0040847662866513	10	10000	A76	1440	1440	0	10000		PS	PS
6	-0.00157363552179784	0.00062949173225315	0	0.4	1	-0.00157363552179784	0.00062949173225315	35	10000	A76	1440	1440	0	10000		PS	PS
7	-0.00229042426516203	0.00321754424382719	0	0.2	0.4	-0.00229042426516203	0.00321754424382719	FGr	10000	A76	1440	1440	0	10000		PS	PS
8	-0.00122987059911265	0.00776610877314817	0	0.7	0.1	-0.00122987059911265	0.00776610877314817	NoCorrection	10000	A76	1440	1440	0	10000		PS	PS
9	-0.00191895257708332	-0.00179359282793208	0	0.3	0.7	-0.00191895257708332	-0.00179359282793208	10	6000	A76	1440	1440	0	6000		PS	PS
10	-0.00155451925925925	-0.0027628118132716	0	0.1	0.7	-0.00155451925925925	-0.0027628118132716	35	6000	A76	1440	1440	0	6000		PS	PS
11	-0.00291919389540895	-0.0047038630979938	0	0	0.4	-0.00291919389540895	-0.0047038630979938	FGr	6000	A76	1440	1440	0	6000		PS	PS
12	-0.00265354342899305	-0.00448003785493825	0	0	0.4	-0.00265354342899305	-0.00448003785493825	NoCorrection	6000	A76	1440	1440	0	6000		PS	PS
