	c-q	nc-q	true-q	c-p	nc-p	c-bias	nc-bias	type	L	rep	gwas_size	test_size	h2	num_causal	env	pheno	test
1	0.00206618816890433	-0.000433358491512183	0	0.4	1	0.00206618816890433	-0.000433358491512183	10	20000	A61	1440	1440	0	20000		PS	PS
2	0.00223549142489585	-0.00106703488233018	0	0.3	0.9	0.00223549142489585	-0.00106703488233018	35	20000	A61	1440	1440	0	20000		PS	PS
3	0.00149565666956406	0.00271048536651254	0	0.6	0.9	0.00149565666956406	0.00271048536651254	FGr	20000	A61	1440	1440	0	20000		PS	PS
4	0.00592962286107448	0.0448023304243828	0	0.1	0	0.00592962286107448	0.0448023304243828	NoCorrection	20000	A61	1440	1440	0	20000		PS	PS
5	-0.00541575721496913	0.00354033644483027	0	0	0.3	-0.00541575721496913	0.00354033644483027	10	10000	A61	1440	1440	0	10000		PS	PS
6	-0.00542754520217978	0.000956508798225331	0	0	0.9	-0.00542754520217978	0.000956508798225331	35	10000	A61	1440	1440	0	10000		PS	PS
7	-0.00618519539542825	-0.00138468636574069	0	0	0.7	-0.00618519539542825	-0.00138468636574069	FGr	10000	A61	1440	1440	0	10000		PS	PS
8	-0.00536381220923997	0.00415721630401235	0	0	0.3	-0.00536381220923997	0.00415721630401235	NoCorrection	10000	A61	1440	1440	0	10000		PS	PS
9	-0.000916262837885799	-0.000395855349151241	0	0.3	1	-0.000916262837885799	-0.000395855349151241	10	6000	A61	1440	1440	0	6000		PS	PS
10	-0.0012687327935378	-0.000468596315586399	0	0.6	1	-0.0012687327935378	-0.000468596315586399	35	6000	A61	1440	1440	0	6000		PS	PS
11	-0.000979887723379622	-0.000817272447916663	0	0.8	0.9	-0.000979887723379622	-0.000817272447916663	FGr	6000	A61	1440	1440	0	6000		PS	PS
12	0.000360166272955256	0.0102855270814043	0	0.9	0	0.000360166272955256	0.0102855270814043	NoCorrection	6000	A61	1440	1440	0	6000		PS	PS
