	c-q	nc-q	true-q	c-p	nc-p	c-bias	nc-bias	type	L	rep	gwas_size	test_size	h2	num_causal	env	pheno	test
1	-0.000316219098688282	-0.00609078946180547	0	0.9	0.4	-0.000316219098688282	-0.00609078946180547	10	20000	A62	1440	1440	0	20000		PS	PS
2	0.000527765944367265	-0.00469040136574067	0	1	0.7	0.000527765944367265	-0.00469040136574067	35	20000	A62	1440	1440	0	20000		PS	PS
3	9.91365284779919e-05	-0.00555252559992264	0	0.9	0.6	9.91365284779919e-05	-0.00555252559992264	FGr	20000	A62	1440	1440	0	20000		PS	PS
4	-0.00162323345912424	-0.0154195310204473	0	0.5	0.1	-0.00162323345912424	-0.0154195310204473	NoCorrection	20000	A62	1440	1440	0	20000		PS	PS
5	-0.00102101197970676	0.00616938098958335	0	0.8	0	-0.00102101197970676	0.00616938098958335	10	10000	A62	1440	1440	0	10000		PS	PS
6	-0.00204595960952931	0.0100373279012346	0	0.3	0.3	-0.00204595960952931	0.0100373279012346	35	10000	A62	1440	1440	0	10000		PS	PS
7	-0.000753432828317871	-0.000477528674768489	0	0.8	0.8	-0.000753432828317871	-0.000477528674768489	FGr	10000	A62	1440	1440	0	10000		PS	PS
8	-1.82491332561433e-05	0.00881440819830251	0	1	0	-1.82491332561433e-05	0.00881440819830251	NoCorrection	10000	A62	1440	1440	0	10000		PS	PS
9	0.000608325949440584	0.00248319420331787	0	0.6	0.6	0.000608325949440584	0.00248319420331787	10	6000	A62	1440	1440	0	6000		PS	PS
10	0.000938144174652772	0.00502921083333333	0	0.7	0.1	0.000938144174652772	0.00502921083333333	35	6000	A62	1440	1440	0	6000		PS	PS
11	0.000605064126543208	0.000959853040123427	0	0.5	0.9	0.000605064126543208	0.000959853040123427	FGr	6000	A62	1440	1440	0	6000		PS	PS
12	0.000796404777072529	0.00205152584490738	0	0.5	0.6	0.000796404777072529	0.00205152584490738	NoCorrection	6000	A62	1440	1440	0	6000		PS	PS
