	c-q	nc-q	true-q	c-p	nc-p	c-bias	nc-bias	type	L	rep	gwas_size	test_size	h2	num_causal	env	pheno	test
1	-0.00195642601747685	-0.00187201339699073	0	0.5	0.8	-0.00195642601747685	-0.00187201339699073	10	20000	A88	1440	1440	0	20000		PS	PS
2	-0.00199927935779321	-0.0022773358294753	0	0.5	0.5	-0.00199927935779321	-0.0022773358294753	35	20000	A88	1440	1440	0	20000		PS	PS
3	-0.0026070679135571	-0.00108108237461417	0	0.2	0.8	-0.0026070679135571	-0.00108108237461417	FGr	20000	A88	1440	1440	0	20000		PS	PS
4	-0.00301476657492284	-0.00362876949266971	0	0.2	0.6	-0.00301476657492284	-0.00362876949266971	NoCorrection	20000	A88	1440	1440	0	20000		PS	PS
5	-0.00479691366456405	0.00335342132137345	0	0	0.5	-0.00479691366456405	0.00335342132137345	10	10000	A88	1440	1440	0	10000		PS	PS
6	-0.00511632598975694	-0.000822580515046295	0	0	1	-0.00511632598975694	-0.000822580515046295	35	10000	A88	1440	1440	0	10000		PS	PS
7	-0.00479135784467593	0.000846819492669759	0	0	0.8	-0.00479135784467593	0.000846819492669759	FGr	10000	A88	1440	1440	0	10000		PS	PS
8	-0.00332985469016204	0.00892991938078704	0	0	0.1	-0.00332985469016204	0.00892991938078704	NoCorrection	10000	A88	1440	1440	0	10000		PS	PS
9	0.00159970246431327	0.000747421047453692	0	0.1	0.8	0.00159970246431327	0.000747421047453692	10	6000	A88	1440	1440	0	6000		PS	PS
10	0.00122768697186921	-0.00584686266782409	0	0.3	0	0.00122768697186921	-0.00584686266782409	35	6000	A88	1440	1440	0	6000		PS	PS
11	0.000482288710455245	0.000547572108410512	0	0.7	1	0.000482288710455245	0.000547572108410512	FGr	6000	A88	1440	1440	0	6000		PS	PS
12	0.00213281150451389	0.0106512966493056	0	0	0	0.00213281150451389	0.0106512966493056	NoCorrection	6000	A88	1440	1440	0	6000		PS	PS
